央视频道,#genre#
CCTV-1 HD,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230713/01.m3u8?fmt=ts2hls#http://223.110.241.130:6610/gitv/live1/G_CCTV-1-HQ/.m3u8#http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv1.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv1_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv1_h_1.m3u8#http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv1gq/online.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8#http://cbnlive.cbchot.com/live/yt_cctv1_l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225812/1.m3u8#http://101.71.255.229:6610/zjhs/2/10126/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-2 HD,http://112.50.243.8/PLTV/88888888/224/3221225800/1.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230716/01.m3u8?fmt=ts2hls#http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv2_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv2_h_1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8#http://cbnlive.cbchot.com/live/yt_cctv2_l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226138/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8#http://101.71.255.229:6610/zjhs/2/10127/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-3 HD,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230740/01.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8#http://223.110.243.170//PLTV/3/224/3221225588/index.m3u8#http://112.17.40.8:80/PLTV/88888888/224/3221226485/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv3.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv3_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv3_h_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8#http://101.71.255.229:6610/zjhs/2/10128/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4国际亚洲,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-4-HQ/.m3u8#http://125.210.152.18:9090/live/CCTV4.m3u8#http://ivi.bupt.edu.cn/hls/cctv4.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv4_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv4zhongwenguoji_h_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226171/index.m3u8#http://101.71.255.229:6610/zjhs/2/10129/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4国际欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV-4国际美洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2/index.m3u8
CCTV-5 HD,http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230734/01.m3u8#http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8#http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8#http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/.m3u8#http://cbnlive.cbchot.com/live/ty_cctv5_h_1.m3u8#http://cbnlive.cbchot.com/live/ty_cctv5)l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226328/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226400/index.m3u8
CCTV-5+HD,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225821/1.m3u8#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8#http://cbnlive.cbchot.com/live/ty_cctv5+_h_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226406/index.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230377/01.m3u8
CCTV-6 HD,http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230685/01.m3u8#http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-6-HQ/.m3u8#http://112.17.40.48:80/PLTV/88888888/224/3221226433/1.m3u8#http://112.17.40.7:80/PLTV/88888888/224/3221226487/1.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv6.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv6_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv6_h_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8
CCTV-7 HD,http://112.50.243.8/PLTV/88888888/224/3221225805/1.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226122/index.m3u8#http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-7-HQ/.m3u8#http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv7.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv7_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv7_h_1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8
CCTV-8 HD,http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://221.179.217.70/PLTV/88888888/224/3221226485/1.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230737/01.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-8-HQ/.m3u8#http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv8_2/index.m3u8#http://cbnlive.cbchot.com/live/ty_cctv8_h_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226493/index.m3u8
CCTV-9 HD,http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8#http://cbnlive.cbchot.com/live/yt_cctv9_h_1.m3u8#http://cbnlive.cbchot.com/live/yt_cctv9_l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8#http://101.71.255.229:6610/zjhs/2/10133/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-10 HD,http://112.50.243.8/PLTV/88888888/224/3221225931/1.m3u8#http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-10-HQ/.m3u8#http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv10.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv10_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv10_h_1.m3u8#http://cbnlive.cbchot.com/live/yt_cctv10_l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226498/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225814/1.m3u8
CCTV-11 HD,http://223.110.241.130:6610/gitv/live1/G_CCTV-11-HQ/.m3u8#http://125.210.152.18:9090/live/CCTV11.m3u8#http://ivi.bupt.edu.cn/hls/cctv11.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv11_2/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8#http://61.58.60.230:9319/live/223.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8#http://101.71.255.229:6610/zjhs/2/10134/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-12 HD,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv12.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv12_2/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv12_h_1.m3u8#http://cbnlive.cbchot.com/live/yt_cctv12_l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226167/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226520/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8
CCTV-13 HD,http://101.71.255.229:6610/zjhs/2/10155/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230877/01.m3u8?fmt=ts2hls#http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://125.210.152.18:9090/live/CCTV13.m3u8#http://ivi.bupt.edu.cn/hls/cctv13.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv13_2/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226417/index.m3u8
CCTV-14 HD,http://112.50.243.8/PLTV/88888888/224/3221225819/1.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226126/index.m3u8#http://125.210.152.18:9090/live/CCTV14HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv14.m3u8#http://cbnlive.cbchot.com/live/yt_cctv14_h_1.m3u8#http://cbnlive.cbchot.com/live/yt_cctv14_l_1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226126/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226508/index.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230701/01.m3u8?fmt=ts2hls#http://101.71.255.229:6610/zjhs/2/10135/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-15 HD,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8#http://125.210.152.18:9090/live/ZYYY.m3u8#http://ivi.bupt.edu.cn/hls/cctv15.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv15_2/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8#http://61.58.60.230:9319/live/224.m3u8#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230658/01.m3u8?fmt=ts2hls#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230658/01.m3u8?fmt=ts2hls,2646,01.m3u8,0,7814,0,0#http://112.17.40.145/PLTV/88888888/224/3221226112/index.m3u8#http://101.71.255.229:6610/zjhs/2/10137/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-16 HD,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8#http://ivi.bupt.edu.cn/hls/cctv16.m3u8
CCTV-17 HD,http://112.50.243.8/PLTV/88888888/224/3221226986/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv17.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv17_2/index.m3u8#
CCTV4K UHD,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8
纯享4K UHD,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
广电4K导视,http://cbnlive.cbchot.com/live/4klocal_1.m3u8

CCTV专区2,http://cbnlive.cbchot.com/live/yszq2_1.m3u8
CCTV专区3,http://cbnlive.cbchot.com/live/yszq3_1.m3u8

