央视频道,#genre#
CCTV-1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8#http://101.71.255.229:6610/zjhs/2/10126/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8#http://101.71.255.229:6610/zjhs/2/10127/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?#http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?#http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225713/index.m3u8?#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV-5,http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/#http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?#http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-5+,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-7,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?#http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8#http://223.110.247.161:6610/cntv/live1/HD-2500k-1080P-cctv8/HD-2500k-1080P-cctv8#http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-9,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?#http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?#http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV-11,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?#http://39.135.250.71/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226057/00000001000000060000000000000497_mdn_1.smil?#http://92ltw.top/cjwx/PLTV/xxjxhk.php?id=5628.sm#http://ivi.bupt.edu.cn/hls/cctv11.m3u8#http://101.71.255.229:6610/zjhs/2/10134/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-12,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?#http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13,http://101.71.255.229:6610/zjhs/2/10155/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?#http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV-14,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://101.71.255.229:6610/zjhs/2/10135/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?#http://ivi.bupt.edu.cn/hls/cctv15.m3u8#http://101.71.255.229:6610/zjhs/2/10137/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-16,http://ivi.bupt.edu.cn/hls/cctv16.m3u8
CCTV-17,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?#http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?

CETV1,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8#http://125.210.152.18:9090/live/ZGJY.m3u8
CETV3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV4,http://101.71.255.229:6610/zjhs/2/10124/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ivi.bupt.edu.cn/hls/cetv4.m3u8
CGTN,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN纪录,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8
CCTV-第一剧场,rtmp://58.200.131.2:1935/livetv/dyjctv
CCTV-国防军事,rtmp://58.200.131.2:1935/livetv/gfjstv
CCTV-怀旧剧场,rtmp://58.200.131.2:1935/livetv/hjjctv
CCTV-风云足球,rtmp://58.200.131.2:1935/livetv/fyzqtv


4K频道,#genre#
CCTV-4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8#http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
纯享4K频道,http://111.12.102.68:6610/PLTV/77777777/224/3221225726/index.m3u8?
百事4K频道,http://112.17.40.145/PLTV/88888888/224/3221226718/index.m3u8
爱上4K频道,http://111.20.105.60:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com


港澳频道,#genre#
